id,code,uic,name_short,name_medium,name_long,slug,country,type
572,EBEO,8010385,Bönen,Bönen,Bönen,bonen,D,stoptreinstation
92,BONN,8015485,Bonn Hbf,Bonn Hbf,Bonn Hbf,bonn-hbf,D,stoptreinstation
833,KBB,8015577,Bonn-Beuel,Bonn-Beuel,Bonn-Beuel,bonn-beuel,D,intercitystation
702,FMB,8822814,Boom,Boom,Boom,boom,B,stoptreinstation
568,EBOK,8021111,Bork,Bork (Westf),Bork (Westf),bork-westf,D,stoptreinstation
86,BN,8400124,Borne,Borne,Borne,borne,NL,stoptreinstation
107,BSK,8400125,Boskoop,Boskoop,Boskoop,boskoop,NL,stoptreinstation
813,BSKS,8400126,Snijdelwk,Snijdelwijk,Boskoop Snijdelwijk,boskoop-snijdelwijk,NL,stoptreinstation
95,BOURG,8774179,Bourg-StM,Bourg-St-Maurice,Bourg-St-Maurice,bourg-st-maurice,F,intercitystation
546,BHDV,8400236,Boven-Har,Boven-Hardinxv.,Boven-Hardinxveld,boven-hardinxveld,NL,stoptreinstation
79,BKF,8400230,Bovenk Flo,Bovenkarspel Fl.,Bovenkarspel Flora,bovenkarspel-flora,NL,stoptreinstation
80,BKG,8400127,Bovenk-Gr,Bovenkarspel-Gr.,Bovenkarspel-Grootebroek,bovenkarspel-grootebroek,NL,stoptreinstation
85,BMR,8400128,Boxmeer,Boxmeer,Boxmeer,boxmeer,NL,knooppuntStoptreinstation
109,BTL,8400129,Boxtel,Boxtel,Boxtel,boxtel,NL,knooppuntStoptreinstation
61,BD,8400131,Breda,Breda,Breda,breda,NL,knooppuntIntercitystation
65,BDPB,8400132,Prinsenbk,Prinsenbeek,Breda-Prinsenbeek,breda-prinsenbeek,NL,stoptreinstation
100,BRESSX,8843901,Bressoux,Bressoux,Bressoux,bressoux,B,stoptreinstation
81,BKL,8400133,Breukelen,Breukelen,Breukelen,breukelen,NL,knooppuntStoptreinstation
569,KBRY,8015129,Breyell,Breyell,Breyell,breyell,D,intercitystation
84,BMN,8400136,Brummen,Brummen,Brummen,brummen,NL,stoptreinstation
103,BRUSC,8813003,Brussel-C,Brussel-C.,Brussel-Centraal,brussel-centraal,B,intercitystation
104,BRUSN,8812005,Brussel-N,Brussel-Noord,Brussel-Noord,brussel-noord,B,knooppuntIntercitystation
